date,heure,type,dure,id_antenne_relais,source,destination
2023-01-30,04:11:00,sms sortant,0,772751174.0,+33670056010,+33608196687
2023-06-16,15:06:00,appel sortant,1657,772750388.0,+33684515151,+33690812892
2023-11-01,18:30:00,sms sortant,0,772700642.0,+33606224452,+33624853783
2023-08-10,00:06:00,sms sortant,0,770990228.0,+33645417010,+33672671493
2023-11-12,22:11:00,sms sortant,0,772751084.0,+33601877147,+33618482022
2023-08-18,03:32:00,sms sortant,0,770990342.0,+33605310218,+33663309449
2023-01-18,22:16:00,appel entrant,3319,770990250.0,+33644510747,+33628696301
2023-02-03,10:41:00,appel entrant,2981,772290376.0,+33655938897,+33648625533
2023-11-07,02:52:00,appel entrant,2488,772290681.0,+33616817983,+33646395165
2023-09-15,05:31:00,appel entrant,2321,772290469.0,+33666687162,+33682513167
2023-05-27,15:57:00,sms sortant,0,772700594.0,+33656327961,+33657134904
2023-06-13,13:15:00,sms sortant,0,772290057.0,+33669669350,+33645995121
2023-05-01,09:49:00,appel entrant,1512,772700485.0,+33623790085,+33641458391
2023-04-30,18:37:00,sms entrant,0,770990292.0,+33657034903,+33679951104
2023-04-22,02:33:00,appel sortant,899,772290159.0,+33664555066,+33645660600
2023-06-18,17:51:00,sms entrant,0,770990412.0,+33679483265,+33611225526
2023-03-12,16:13:00,sms entrant,0,772290664.0,+33686176832,+33626688609
2023-08-28,07:46:00,appel sortant,226,770990055.0,+33611179854,+33694817847
2023-01-30,03:33:00,appel sortant,441,,+33609547956,+33645789863
2023-04-17,12:56:00,appel entrant,692,772290159.0,+33624448066,+33614605808
2023-06-30,12:45:00,sms sortant,0,770990211.0,+33641580102,+33651828322
2023-07-18,11:53:00,appel sortant,1771,772290436.0,+33669724915,+33665258826
2023-07-15,23:44:00,appel sortant,878,772751313.0,+33627615374,+33616213771
2023-11-09,12:20:00,appel entrant,2729,772700716.0,+33630476338,+33622799527
2023-09-26,17:50:00,sms entrant,0,772750559.0,+33674371244,+33637213554
2023-11-09,16:54:00,appel sortant,343,772751106.0,+33646403235,+33627355495
2023-02-16,19:41:00,appel sortant,3011,772750616.0,+33617373095,+33610635880
2023-05-14,16:36:00,sms sortant,0,772290195.0,+33626935639,+33620902193
2023-05-09,04:23:00,appel sortant,1767,772750704.0,+33693765772,+33610208275
2023-02-18,12:17:00,appel entrant,1181,772750519.0,+33685344691,+33660775012
2023-08-15,10:04:00,sms sortant,0,772750106.0,+33683363702,+33639273344
2023-08-31,16:28:00,appel sortant,1226,772700314.0,+33677330989,+33620542852
2023-01-03,13:37:00,sms entrant,0,772751091.0,+33630951988,+33605948766
2023-05-13,22:29:00,appel sortant,459,770990180.0,+33635915895,+33649203148
2023-04-01,06:00:00,appel entrant,2632,772750528.0,+33646490680,+33627568404
2023-04-19,05:30:00,sms entrant,0,772700145.0,+33696567572,+33675446745
2023-11-08,18:12:00,sms entrant,0,772290542.0,+33632597617,+33651007210
2023-03-07,15:28:00,sms sortant,0,772290330.0,+33631298071,+33675676849
2023-12-11,11:58:00,sms sortant,0,772700522.0,+33644487677,+33689775087
2023-08-29,13:08:00,appel entrant,1978,772700360.0,+33632311789,+33637629642
2023-08-04,06:18:00,appel entrant,2310,772750446.0,+33646155895,+33609301261
2023-03-25,05:55:00,appel sortant,2401,770990296.0,+33601494039,+33647528951
2023-10-29,13:24:00,sms entrant,0,772290615.0,+33610621169,+33646296620
2023-05-24,04:12:00,sms entrant,0,770990114.0,+33692160588,+33604080926
2023-01-13,07:19:00,sms entrant,0,772700136.0,+33684058491,+33602077162
2023-06-18,13:07:00,appel sortant,2616,772290217.0,+33696252998,+33693065849
2023-07-01,03:08:00,appel sortant,2011,770990250.0,+33690442579,+33683585535
2023-01-18,02:11:00,appel sortant,2936,772750464.0,+33663691696,+33660312558
2023-06-11,22:07:00,sms entrant,0,772750925.0,+33633807259,+33677002713
2023-04-17,22:10:00,sms entrant,0,772750402.0,+33687233914,+33631293311
2023-04-21,17:36:00,appel entrant,2061,770990105.0,+33676967451,+33644042329
2023-08-13,14:46:00,appel entrant,3274,772751046.0,+33683868139,+33626216733
2023-04-19,19:29:00,sms entrant,0,772751214.0,+33610449899,+33693203064
2023-11-05,14:18:00,sms entrant,0,772290647.0,+33618230235,+33652458999
2023-09-10,10:11:00,appel entrant,976,770990193.0,+33682702735,+33633644744
2023-05-01,01:54:00,appel entrant,2192,770990096.0,+33615055027,+33695293736
2023-02-19,18:03:00,sms entrant,0,772751282.0,+33627753479,+33692961131
2023-01-03,10:27:00,appel entrant,1273,772290328.0,+33655372326,+33674785236
2023-01-14,19:26:00,appel sortant,731,772700092.0,+33610345155,+33659604549
2023-03-20,16:37:00,sms entrant,0,772751313.0,+33652059918,+33690879614
2023-01-05,22:20:00,sms sortant,0,772290224.0,+33651384312,+33621819865
2023-12-28,10:49:00,sms entrant,0,770990371.0,+33635715789,+33605395294
2023-09-03,02:07:00,appel entrant,1486,772751423.0,+33608145143,+33605319056
2023-08-11,07:09:00,appel entrant,2468,770990005.0,+33693435793,+33683780758
