date,heure,type,duree,id_antenne_relais,source,destination
2023-03-15,07:43:00,sms sortant,0,772290468.0,+33618649082,+33662015717
2023-05-04,00:12:00,sms sortant,0,772750446.0,+33623243741,+33663539147
2023-02-15,08:49:00,sms entrant,0,772700254.0,+33662414863,+33641600407
2023-08-09,07:11:00,sms sortant,0,770990184.0,+33611514165,+33675317589
2023-01-02,21:26:00,sms sortant,0,770990224.0,+33666439977,+33637470559
2023-01-08,16:05:00,sms sortant,0,770990524.0,+33652766310,+33620706517
2023-04-19,19:00:00,sms sortant,0,772700310.0,+33626768757,+33685192952
2023-06-19,15:00:00,sms sortant,0,772751409.0,+33639836757,+33658268432
2023-01-21,16:47:00,sms sortant,0,770990343.0,+33668584037,+33676523957
2023-06-07,05:51:00,sms sortant,0,772290722.0,+33604106632,+33650835327
2023-06-26,19:48:00,sms sortant,0,770990296.0,+33616140356,+33655997140
2023-06-04,15:04:00,sms entrant,0,770990372.0,+33693382364,+33625761826
2023-02-22,12:51:00,appel sortant,2049,772700184.0,+33685095221,+33661469671
2023-04-01,22:21:00,sms entrant,0,770990238.0,+33618593563,+33600028343
2023-09-04,22:23:00,sms entrant,0,770990411.0,+33680976041,+33637678822
2023-07-11,15:21:00,sms entrant,0,772700300.0,+33662407181,+33636141740
2023-12-15,00:44:00,appel entrant,3011,772290013.0,+33605237203,+33603063309
2023-06-04,20:39:00,appel sortant,1561,772751206.0,+33600440475,+33679308856
2023-11-30,10:32:00,sms entrant,0,772751335.0,+33652051976,+33609065583
2023-05-05,03:06:00,appel sortant,2436,770990256.0,+33641100064,+33627069642
2023-09-19,21:26:00,appel entrant,3582,772290444.0,+33694823834,+33684096041
2023-02-19,16:06:00,appel entrant,125,772750889.0,+33639820052,+33631817517
2023-09-19,13:41:00,appel sortant,3232,772750388.0,+33634797933,+33696891242
2023-02-13,08:12:00,appel sortant,1537,772750570.0,+33615134883,+33644175021
2023-08-09,20:21:00,sms sortant,0,772290419.0,+33634028749,+33654541364
2023-08-07,13:41:00,appel sortant,1432,772700214.0,+33606249683,+33663751375
2023-12-28,20:44:00,appel sortant,3204,772751207.0,+33640996748,+33634132904
2023-05-13,06:59:00,sms sortant,0,772700462.0,+33641535483,+33678460579
2023-03-11,22:04:00,appel sortant,2725,772751034.0,+33673943168,+33633028448
2023-07-08,05:25:00,sms sortant,0,,+33674936848,+33691950156
2023-06-26,18:04:00,sms entrant,0,772751083.0,+33681385645,+33651663578
2023-06-23,03:38:00,appel entrant,806,772290593.0,+33637699453,+33671201155
2023-09-17,09:30:00,appel sortant,3232,770990184.0,+33647494801,+33609238050
2023-02-05,15:27:00,sms sortant,0,772290351.0,+33693010014,+33695713857
2023-12-31,17:53:00,appel entrant,825,772750123.0,+33606750474,+33604818245
2023-06-21,13:36:00,sms entrant,0,772751027.0,+33695172924,+33633680837
2023-12-21,23:53:00,sms sortant,0,772290458.0,+33673944307,+33664297135
2023-11-09,23:52:00,appel entrant,2476,770990104.0,+33608786436,+33608434793
2023-05-03,17:47:00,appel sortant,1426,770990239.0,+33681776853,+33606407860
2023-02-03,20:11:00,appel sortant,1854,772751385.0,+33654608672,+33692096356
2023-12-31,05:22:00,sms sortant,0,772290140.0,+33658550204,+33608431200
2023-09-07,22:49:00,sms sortant,0,772750438.0,+33600716498,+33648279478
2023-04-05,12:50:00,sms sortant,0,772750926.0,+33659842123,+33673610301
2023-12-18,17:12:00,appel entrant,3173,772700528.0,+33652481215,+33694448403
2023-02-08,07:15:00,sms entrant,0,772751074.0,+33663981756,+33603093528
2023-01-03,13:45:00,appel sortant,2297,772290565.0,+33602939567,+33691441237
2023-09-26,07:42:00,appel entrant,2264,772700003.0,+33699829889,+33603905057
2023-10-18,10:12:00,sms sortant,0,772290384.0,+33622770430,+33671750473
2023-12-26,17:42:00,appel sortant,3118,772751245.0,+33647618744,+33687373532
2023-03-30,04:11:00,appel entrant,130,772750402.0,+33699647100,+33612860521
2023-01-25,08:44:00,sms sortant,0,772751140.0,+33607073379,+33637602625
2023-06-22,13:56:00,appel sortant,1295,770990004.0,+33610125859,+33699269784
2023-07-01,13:36:00,sms sortant,0,772290467.0,+33673973865,+33662036530
2023-11-20,11:08:00,sms sortant,0,772290172.0,+33657038532,+33618790584
2023-11-01,20:04:00,sms sortant,0,772700241.0,+33601577737,+33610604499
2023-07-10,03:01:00,sms entrant,0,772751062.0,+33629142855,+33675038918
2023-07-11,03:06:00,appel sortant,2541,770990100.0,+33641477375,+33621155389
2023-01-10,02:04:00,appel sortant,2027,770990037.0,+33622087129,+33609926114
2023-11-20,20:15:00,appel sortant,3063,772290119.0,+33660526767,+33678066258
2023-09-21,02:24:00,appel entrant,2289,772751161.0,+33649085212,+33679624058
2023-07-07,01:00:00,sms sortant,0,772700638.0,+33691095574,+33641927241
2023-09-15,13:35:00,appel sortant,3150,772700135.0,+33654998717,+33613865743
2023-04-23,05:32:00,appel entrant,2896,772700109.0,+33604539225,+33689950188
2023-09-03,20:04:00,appel entrant,1239,772290514.0,+33605513568,+33673394100
2023-06-09,18:37:00,sms sortant,0,770990116.0,+33640496752,+33606060293
2023-05-26,19:30:00,appel sortant,453,772700017.0,+33659165424,+33669974674
2023-06-19,08:36:00,appel sortant,1171,772750128.0,+33617927834,+33649818140
2023-07-24,21:58:00,sms sortant,0,772700596.0,+33662631099,+33665901490
2023-11-01,06:14:00,appel sortant,1376,772751374.0,+33643433516,+33600129280
2023-05-30,15:38:00,appel sortant,500,772700135.0,+33623232255,+33633521261
2023-05-22,02:09:00,sms sortant,0,772750121.0,+33671236774,+33600035860
2023-08-31,19:10:00,appel sortant,835,770990448.0,+33606554952,+33612732449
2023-09-07,09:07:00,sms sortant,0,772290115.0,+33649688858,+33611282513
2023-10-10,16:09:00,appel entrant,968,772700584.0,+33629552061,+33694976942
2023-05-04,02:45:00,sms entrant,0,772290313.0,+33681067260,+33661189585
2023-05-31,01:23:00,appel sortant,3436,772700518.0,+33687024933,+33661725931
2023-09-23,02:36:00,appel sortant,1633,772750634.0,+33658735050,+33630709824
2023-07-16,13:42:00,sms sortant,0,772290653.0,+33628889479,+33622874869
2023-11-23,09:21:00,appel entrant,3265,770990158.0,+33651432929,+33620288318
2023-03-12,23:11:00,sms entrant,0,772750367.0,+33618124629,+33669635000
2023-10-30,13:17:00,appel entrant,2562,772290303.0,+33607631748,+33699707199
2023-10-13,11:23:00,appel entrant,1979,770990524.0,+33654732186,+33672013044
2023-04-05,18:55:00,sms sortant,0,772700002.0,+33633964707,+33648415051
2023-02-22,13:49:00,sms entrant,0,770990433.0,+33603640460,+33694298086
2023-03-29,18:19:00,appel entrant,189,772750105.0,+33642898686,+33682919886
2023-07-24,07:42:00,sms sortant,0,772700642.0,+33672772491,+33633078536
2023-12-10,05:42:00,appel entrant,3476,772751132.0,+33662131698,+33671512965
2023-06-19,10:40:00,appel entrant,493,772700555.0,+33673373762,+33687454041
2023-09-21,14:59:00,appel sortant,2943,772750356.0,+33650169669,+33676740361
2023-09-27,13:53:00,appel sortant,3254,772751382.0,+33663581972,+33680578530
2023-04-16,14:18:00,appel entrant,3418,772751223.0,+33637960337,+33648378208
2023-04-10,21:00:00,sms entrant,0,770990149.0,+33672465215,+33648876262
2023-09-30,12:55:00,appel entrant,2396,772290512.0,+33669389622,+33623746600
2023-05-09,05:14:00,appel entrant,2711,772290446.0,+33693277424,+33628487518
2023-05-30,03:26:00,sms entrant,0,770990002.0,+33682174465,+33673465440
2023-07-25,21:08:00,sms sortant,0,770990065.0,+33671886168,+33653218140
2023-10-30,08:55:00,sms entrant,0,772750722.0,+33668476186,+33662679557
