date,heure,type,duree,id_antenne_relais,source,destination
2023-05-31,03:31:00,appel entrant,1436,772700584.0,33622668825,33677838824
2023-05-30,05:12:00,sms entrant,0,770990502.0,33609735525,33647960756
2023-03-01,17:57:00,sms sortant,0,772290180.0,33628485656,33674926683
2023-06-22,05:16:00,appel sortant,412,772290043.0,33617665793,33682555457
2023-08-31,11:52:00,sms sortant,0,772290462.0,33646556332,33641054904
2023-01-16,12:50:00,appel entrant,2782,772751283.0,33695827845,33679529440
2023-09-06,21:11:00,sms sortant,0,770990157.0,33690927993,33635522481
2023-10-03,02:34:00,appel sortant,1215,772700694.0,33628508178,33686359623
2023-03-26,11:40:00,appel entrant,690,772700027.0,33652779259,33687732353
2023-02-01,04:39:00,sms entrant,0,770990311.0,33613432843,33611312667
2023-11-01,14:08:00,appel sortant,1319,772700045.0,33627870583,33613598640
2023-04-30,10:27:00,sms entrant,0,772700057.0,33675843656,33638925202
2023-03-24,10:20:00,sms sortant,0,772290735.0,33625009396,33690389813
2023-03-18,15:50:00,appel entrant,1638,772751200.0,33664355518,33685921414
2023-07-17,02:25:00,appel entrant,525,772751145.0,33666038115,33695217607
2023-04-10,01:45:00,sms sortant,0,772700299.0,33686630782,33606481984
2023-12-09,06:04:00,sms sortant,0,770990198.0,33622579776,33685450070
2023-02-13,00:21:00,sms entrant,0,772290606.0,33630636299,33648383245
2023-12-13,01:05:00,sms sortant,0,772751374.0,33648099495,33633619441
2023-01-15,07:55:00,sms entrant,0,770990249.0,33610043126,33686228392
2023-09-22,06:59:00,appel entrant,998,772750373.0,33601312721,33646581609
2023-11-01,04:54:00,appel entrant,593,772751113.0,33689715254,33614797578
2023-02-07,05:49:00,appel sortant,550,772290417.0,33629729362,33698740953
2023-08-03,07:46:00,appel entrant,1090,772700513.0,33621950716,33639867591
2023-02-21,00:14:00,sms sortant,0,772290281.0,33632302187,33680824759
2023-09-04,12:29:00,sms sortant,0,772290469.0,33621769412,33648927191
2023-06-16,07:34:00,sms entrant,0,772750975.0,33666855560,33683885304
2023-11-17,18:33:00,sms entrant,0,772700012.0,33680132289,33616470335
2023-12-04,09:18:00,sms sortant,0,772290535.0,33693385642,33623176606
2023-03-26,05:08:00,appel sortant,2923,772750945.0,33603195023,33695390458
2023-07-11,07:45:00,sms entrant,0,930990147.0,33681666850,33611753913
2023-07-26,05:57:00,appel entrant,1882,772290301.0,33653362264,33649863592
2023-04-19,17:16:00,sms entrant,0,772290595.0,33675568220,33657739022
2023-02-05,04:55:00,appel entrant,1235,772290151.0,33651622701,33641706441
2023-04-20,01:26:00,appel entrant,2147,770990286.0,33623326605,33690212182
2023-06-06,13:11:00,sms entrant,0,772290740.0,33637268255,33681989160
2023-02-16,19:15:00,sms sortant,0,772700052.0,33659557048,33678530233
2023-07-10,12:57:00,sms sortant,0,772290342.0,33657455272,33679625724
2023-07-09,19:19:00,sms sortant,0,772700027.0,33679617442,33687801722
2023-09-22,22:53:00,sms sortant,0,770990136.0,33674842739,33683096629
2023-05-02,18:30:00,appel entrant,3451,772750981.0,33622661899,33622759420
2023-04-27,14:54:00,sms sortant,0,772750135.0,33624892889,33626825889
2023-03-13,09:08:00,appel entrant,3055,772751229.0,33663176053,33670415115
2023-11-15,05:31:00,appel sortant,3316,772700093.0,33656103311,33642826653
2023-05-04,08:11:00,sms entrant,0,772700155.0,33695305405,33652880941
2023-06-01,07:54:00,sms entrant,0,772700202.0,33682518331,33606907970
2023-11-23,11:34:00,sms sortant,0,772700133.0,33674526248,33633824248
2023-08-04,09:48:00,sms entrant,0,772290621.0,33688589540,33687580175
2023-12-28,16:37:00,appel sortant,290,772290111.0,33656411115,33665504680
2023-07-29,06:04:00,sms sortant,0,772750706.0,33641845679,33602998948
2023-02-26,22:42:00,sms sortant,0,770990220.0,33689121387,33642594780
2023-10-21,18:53:00,sms entrant,0,772290340.0,33646193584,33631149345
2023-03-18,22:18:00,sms sortant,0,772750951.0,33685599282,33692325803
2023-03-24,14:26:00,appel entrant,849,772290090.0,33698078240,33678347917
2023-11-21,04:17:00,sms sortant,0,772290197.0,33658687878,33668356366
2023-11-21,00:27:00,sms sortant,0,770990032.0,33667729210,33691965178
2023-11-20,00:54:00,appel sortant,1158,772750465.0,33656004813,33639979461
2023-03-05,12:35:00,sms sortant,0,772750431.0,33628878358,33617366356
2023-09-02,15:35:00,appel entrant,2991,772750781.0,33634929772,33626740465
2023-07-24,17:44:00,appel entrant,97,770990443.0,33676955501,33678311533
2023-10-27,03:17:00,sms sortant,0,772290294.0,33664595019,33663095959
2023-02-04,22:28:00,sms entrant,0,772700659.0,33627813001,33639077581
2023-09-09,19:45:00,sms entrant,0,772290108.0,33632510447,33650515450
2023-06-22,00:56:00,appel entrant,1122,772700548.0,33641231903,33666644795
2023-06-14,12:43:00,sms sortant,0,770990182.0,33680126953,33677919760
