date,heure,type,duree,id_antenne_relais,source,destination
2023-07-03,03:27:00,sms entrant,0,770990400.0,33669306859,33629486417
2023-09-30,02:22:00,appel entrant,2496,772750962.0,33662136848,33675822837
2023-10-08,10:30:00,sms entrant,0,772750975.0,33624684483,33657130951
2023-01-13,05:21:00,sms entrant,0,772700586.0,33624405694,33640200994
2023-12-14,10:24:00,appel sortant,2688,772290269.0,33629822249,33604078555
2023-09-02,13:01:00,appel sortant,2948,772700123.0,33669258908,33607133744
2023-01-06,13:38:00,sms entrant,0,772290487.0,33631322274,33628581026
2023-02-22,17:15:00,appel entrant,809,772700339.0,33691346269,33667524639
2023-12-17,19:48:00,appel entrant,635,772750799.0,33622251391,33604865699
2023-03-03,06:25:00,sms sortant,0,772700045.0,33687163956,33604626917
2023-05-23,21:33:00,appel sortant,675,770990086.0,33648068539,33617813006
2023-05-20,22:04:00,sms entrant,0,772700296.0,33616213690,33684637394
2023-03-09,23:08:00,appel sortant,3051,772700258.0,33640503864,33690334845
2023-10-12,04:17:00,appel entrant,2476,772751415.0,33608757340,33619861497
2023-06-05,12:01:00,sms entrant,0,772290614.0,33635129868,33671629564
2023-07-25,17:49:00,sms sortant,0,772750131.0,33677274877,33616176478
2023-12-19,21:57:00,sms sortant,0,772700032.0,33638775333,33678482517
2023-11-22,23:31:00,sms entrant,0,772751052.0,33640125463,33655633040
2023-03-01,06:50:00,appel sortant,2928,772290095.0,33637748299,33639205814
2023-11-02,01:20:00,appel sortant,1896,772750413.0,33681036255,33635376677
2023-09-24,19:21:00,appel entrant,2040,772750571.0,33650405766,33619144651
2023-09-07,18:20:00,sms entrant,0,770990142.0,33672424031,33605173364
2023-01-12,08:11:00,appel sortant,2301,770990187.0,33674049699,33651244867
2023-06-25,21:35:00,appel entrant,32,770990035.0,33624485846,33629046167
2023-02-02,07:55:00,appel sortant,3073,772700593.0,33662671249,33612025352
2023-08-18,21:29:00,appel sortant,1184,772290179.0,33652692432,33660550596
2023-12-03,13:04:00,sms entrant,0,772290437.0,33679945131,33615727319
2023-09-26,15:19:00,sms entrant,0,772290285.0,33696847056,33646963113
2023-09-20,01:46:00,sms sortant,0,772700528.0,33658279320,33648746891
2023-12-19,04:40:00,appel entrant,2336,772290579.0,33637442842,33666643444
2023-10-21,03:40:00,appel entrant,2299,772751315.0,33621333037,33690035896
2023-09-02,12:23:00,appel entrant,776,772290211.0,33659654738,33626415830
2023-12-21,21:51:00,sms entrant,0,772700133.0,33611088638,33623761091
2023-12-11,13:22:00,sms sortant,0,772750137.0,33691283028,33672960574
2023-09-26,10:24:00,sms entrant,0,772290589.0,33628153492,33690729360
2023-01-08,20:46:00,appel entrant,421,772751298.0,33673495609,33639965042
2023-07-26,20:14:00,appel entrant,505,772290539.0,33697131242,33622398238
2023-03-25,06:34:00,sms sortant,0,772290453.0,33677815170,33616978912
2023-03-02,01:10:00,sms entrant,0,772700194.0,33678436197,33611189058
2023-04-29,03:17:00,sms entrant,0,770990004.0,33672697793,33639803613
2023-09-10,12:36:00,sms sortant,0,772290276.0,33629519887,33681908422
2023-02-08,23:57:00,appel entrant,763,772290234.0,33680315898,33699270681
2023-06-02,08:16:00,sms sortant,0,772750080.0,33634995123,33670838285
2023-10-09,05:22:00,sms sortant,0,772290681.0,33623931431,33651855732
2023-11-25,12:14:00,appel sortant,1451,772290199.0,33649209873,33699428145
2023-08-10,00:36:00,appel sortant,168,772700613.0,33667269464,33627587419
2023-09-27,03:37:00,sms sortant,0,772290520.0,33615578880,33622530512
