date,heure,type,dure,id_antenne_relais,source,destination
2023-11-06,08:44:00,sms sortant,0,770990545.0,33652092903,33648888516
2023-11-16,11:36:00,sms sortant,0,772751174.0,33605601835,33624772670
2023-07-03,18:17:00,sms sortant,0,770990024.0,33677414245,33612616266
2023-12-09,08:52:00,appel entrant,331,772700251.0,33656252515,33675015936
2023-08-28,19:37:00,sms sortant,0,772700193.0,33615636690,33608610780
2023-03-18,19:49:00,appel entrant,1099,772290236.0,33678635404,33692889180
2023-11-30,00:31:00,sms entrant,0,772751412.0,33659227503,33658355516
2023-03-18,18:11:00,appel sortant,859,772751074.0,33634549891,33673329398
2023-05-19,09:13:00,appel entrant,3487,772751191.0,33639462828,33664054734
2023-08-10,17:22:00,sms entrant,0,772290375.0,33695569742,33684240101
2023-04-21,01:02:00,appel entrant,2578,772700177.0,33615943762,33670181279
2023-05-19,18:10:00,sms sortant,0,770990396.0,33658581732,33609761138
2023-05-05,06:40:00,sms entrant,0,770990041.0,33690066882,33614645629
2023-08-18,11:32:00,sms entrant,0,772750653.0,33622658259,33632418578
2023-11-20,17:34:00,sms sortant,0,772290504.0,33692988267,33689472139
2023-02-17,13:30:00,appel entrant,886,770990261.0,33607988023,33625909480
2023-12-17,01:00:00,appel sortant,98,772290477.0,33654289564,33628987770
2023-08-27,23:26:00,sms entrant,0,772290410.0,33612636649,33613875881
2023-09-05,08:54:00,appel sortant,192,772700071.0,33684835442,33618271879
2023-12-17,04:48:00,appel entrant,296,772290411.0,33682997235,33611285335
2023-04-02,02:27:00,sms entrant,0,770990369.0,33602038851,33628191985
2023-03-03,04:44:00,appel sortant,2919,772290664.0,33669451477,33606355677
2023-02-02,00:38:00,appel sortant,2029,770990429.0,33624931946,33677127093
2023-03-04,22:28:00,sms sortant,0,772290222.0,33675088874,33674382250
2023-04-28,10:38:00,sms sortant,0,772750118.0,33609130018,33638844802
2023-12-27,17:02:00,appel sortant,1150,772700121.0,33664562057,33635538505
2023-03-25,15:27:00,appel sortant,771,772290279.0,33696347081,33616417397
2023-04-11,19:12:00,sms sortant,0,772750004.0,33614591388,33674837806
2023-10-24,14:42:00,sms entrant,0,772750506.0,33603641446,33684427990
2023-09-09,02:49:00,appel sortant,2447,772290129.0,33658574423,33692951351
2023-07-30,05:50:00,appel sortant,3126,770990317.0,33660118073,33648965055
2023-02-12,08:02:00,appel sortant,1507,772700511.0,33656061259,33669030170
2023-12-09,03:44:00,appel entrant,1816,772750094.0,33690145704,33636828863
2023-06-02,23:36:00,sms entrant,0,772290334.0,33677214747,33640815155
2023-12-27,04:42:00,appel entrant,3577,772290410.0,33631647591,33668229601
2023-11-07,23:55:00,appel entrant,1974,772700635.0,33651284751,33610604885
2023-12-04,18:18:00,appel sortant,1441,772290137.0,33673930696,33698777104
2023-02-03,19:57:00,appel entrant,3393,770990204.0,33629368608,33631069949
2023-11-27,09:18:00,sms entrant,0,770990020.0,33645298189,33630838865
2023-03-10,00:32:00,sms entrant,0,770990338.0,33638853084,33671993251
2023-12-20,20:37:00,sms sortant,0,772750431.0,33660411233,33654537076
2023-11-21,16:05:00,appel sortant,2464,772751388.0,33671633177,33691536794
2023-11-10,20:07:00,appel sortant,2135,772751362.0,33602555927,33648871422
2023-12-11,07:09:00,appel sortant,505,772700138.0,33671596420,33619877581
2023-06-13,23:58:00,appel sortant,280,772750714.0,33687682129,33625779364
2023-01-07,23:47:00,sms entrant,0,772700454.0,33669605389,33634670253
2023-01-25,03:05:00,sms sortant,0,772700188.0,33652245155,33687224510
2023-12-13,16:56:00,appel entrant,1622,770990232.0,33669308021,33602438738
2023-12-20,16:30:00,sms entrant,0,772750388.0,33617142131,33684458730
2023-07-06,22:10:00,sms sortant,0,772750997.0,33646733067,33687255090
2023-01-27,08:17:00,sms sortant,0,772290616.0,33675656795,33697253900
2023-04-30,03:15:00,sms entrant,0,772700478.0,33623020001,33626803956
2023-11-14,10:01:00,sms sortant,0,772700118.0,33642017741,33667518243
2023-07-02,09:23:00,sms entrant,0,772290273.0,33694437797,33689680833
2023-10-26,06:24:00,appel sortant,2780,770990512.0,33643544679,33627109803
2023-06-22,06:03:00,appel sortant,1809,770990172.0,33663078151,33632816515
2023-01-05,22:48:00,sms sortant,0,772290442.0,33652378409,33606460046
2023-01-03,08:03:00,sms entrant,0,772750559.0,33680141873,33615090217
2023-06-07,05:00:00,appel entrant,1314,772751335.0,33661353513,33648946928
2023-02-27,22:12:00,appel sortant,3284,772290192.0,33650751403,33671224663
2023-11-06,04:58:00,appel sortant,2030,770990144.0,33658487773,33665889277
