date,heure,type,duree,id_antenne_relais,source,destination
2023-11-14,22:02:00,sms sortant,0,770990193.0,+33634748333,+33645795034
2023-01-03,15:29:00,sms entrant,0,772290491.0,+33676073646,+33667606753
2023-03-13,22:26:00,sms entrant,0,772751235.0,+33686582274,+33645354398
2023-12-07,23:08:00,appel sortant,1804,772290203.0,+33661682235,+33601742538
2023-12-29,21:34:00,appel sortant,355,772290491.0,+33607594337,+33677087883
2023-12-28,14:52:00,appel sortant,1944,772751083.0,+33615071863,+33659348116
2023-09-02,12:49:00,appel sortant,1768,772290430.0,+33681929544,+33662568913
2023-03-12,23:55:00,appel entrant,3237,772700211.0,+33619617943,+33665982982
2023-03-21,08:04:00,appel sortant,960,772700042.0,+33674560509,+33636613501
2023-01-07,03:22:00,appel sortant,52,770990439.0,+33623965541,+33663396296
2023-04-03,12:46:00,appel entrant,173,772290680.0,+33637790051,+33644129887
2023-01-20,02:01:00,appel entrant,3428,770990115.0,+33605998736,+33686368477
2023-07-12,15:38:00,sms entrant,0,772751091.0,+33608025480,+33657105673
2023-12-08,09:06:00,appel entrant,840,770990456.0,+33636575546,+33694408469
2023-08-03,02:49:00,appel entrant,140,772700521.0,+33698289726,+33662730460
2023-02-28,04:53:00,sms sortant,0,772700627.0,+33658138536,+33617511203
2023-03-20,06:24:00,appel sortant,2662,772700031.0,+33666927535,+33686820028
2023-04-14,02:10:00,appel entrant,2324,772751233.0,+33631294562,+33664661990
2023-05-07,08:43:00,appel sortant,2102,770990084.0,+33608699170,+33650375789
2023-03-16,16:46:00,sms entrant,0,772750759.0,+33622489261,+33661860803
2023-05-10,15:29:00,sms sortant,0,772751216.0,+33660800636,+33658524498
2023-04-13,22:21:00,appel entrant,3407,772751092.0,+33661870888,+33661489682
2023-03-15,11:30:00,appel entrant,167,772750010.0,+33607083978,+33661910690
2023-07-04,07:42:00,appel entrant,1786,772290485.0,+33615875926,+33698022388
2023-01-19,15:00:00,appel entrant,1019,770990455.0,+33691047031,+33612819763
2023-09-03,09:44:00,sms sortant,0,770990072.0,+33680391708,+33636842119
2023-09-06,20:51:00,appel entrant,1401,772700009.0,+33663353145,+33639590614
2023-09-18,17:04:00,appel sortant,2209,772750889.0,+33655756353,+33698755361
2023-03-25,15:47:00,sms entrant,0,772751241.0,+33699655624,+33675821532
2023-05-29,02:26:00,sms sortant,0,772700343.0,+33649466982,+33696375636
2023-07-12,07:21:00,appel entrant,289,770990019.0,+33693066587,+33630916130
2023-01-28,03:02:00,appel entrant,726,772290245.0,+33656080746,+33652713525
2023-12-21,02:26:00,appel sortant,154,772290474.0,+33635709167,+33641809629
2023-01-03,07:03:00,appel sortant,3259,770990076.0,+33627714606,+33687433351
2023-06-12,04:41:00,appel entrant,351,772751119.0,+33694587597,+33654888594
2023-03-02,11:06:00,appel entrant,404,772700640.0,+33603983913,+33626949608
2023-11-20,16:33:00,sms sortant,0,772700226.0,+33674120208,+33660952836
2023-12-30,15:42:00,appel sortant,3202,772290632.0,+33699002723,+33635165929
2023-01-03,16:25:00,sms entrant,0,770990341.0,+33623533924,+33683698144
2023-08-02,08:34:00,appel entrant,3316,772751041.0,+33609064486,+33650289158
2023-10-11,07:50:00,sms sortant,0,772290137.0,+33622554685,+33641441915
2023-09-23,02:18:00,sms entrant,0,772290055.0,+33606839125,+33649984816
2023-05-22,10:52:00,appel sortant,3285,770990134.0,+33642182429,+33660795133
2023-05-21,02:20:00,appel entrant,1941,772700002.0,+33631926997,+33685599766
2023-04-24,15:18:00,appel sortant,3076,772290092.0,+33631503947,+33635380489
2023-12-15,09:44:00,appel sortant,2773,772700665.0,+33609696924,+33631234101
2023-01-03,04:43:00,sms sortant,0,772750013.0,+33677176457,+33678228200
2023-08-01,09:30:00,appel entrant,844,772751161.0,+33659969451,+33640597493
2023-03-25,20:12:00,sms sortant,0,772700567.0,+33671696759,+33643295389
2023-01-31,18:03:00,sms entrant,0,772751270.0,+33632738147,+33682600811
2023-05-22,15:38:00,sms sortant,0,770990314.0,+33637540895,+33607179507
2023-12-11,16:51:00,sms sortant,0,770990060.0,+33649694217,+33674657439
2023-11-24,19:57:00,sms entrant,0,770990460.0,+33679558641,+33628689267
2023-11-14,14:43:00,sms sortant,0,772290522.0,+33680943473,+33666103771
2023-11-25,20:10:00,sms sortant,0,772751155.0,+33609378557,+33695408406
2023-11-22,18:40:00,appel sortant,2085,772290321.0,+33698261196,+33602162217
2023-04-11,07:44:00,sms sortant,0,772290162.0,+33610436181,+33693070345
2023-09-25,15:53:00,appel sortant,1188,772290277.0,+33625216283,+33614077556
2023-05-04,05:06:00,sms sortant,0,770990465.0,+33620685845,+33656390992
2023-02-13,01:13:00,appel sortant,2430,772750542.0,+33682831050,+33639352427
2023-12-12,02:02:00,sms sortant,0,772750964.0,+33614841405,+33641320428
2023-09-26,04:01:00,appel entrant,1693,772751342.0,+33657353916,+33605553744
2023-12-24,10:08:00,appel entrant,1572,770990454.0,+33625296850,+33616700456
2023-04-14,14:01:00,sms sortant,0,770990314.0,+33686018458,+33694162318
2023-10-29,16:02:00,sms entrant,0,770990452.0,+33686916044,+33602049288
